,name,url,price,rating,nReviews
48,"Safari Sneak Casual Backpack with USB Charging Port 26 Ltrs Water Resistant Fabric - Grey, L (SNEAK19CBGRE)  ",https://amazon.in/Safari-Casual-Backpack-Charging-Resistant/dp/B09B2581S9/ref=sr_1_45?crid=2M096C61O4MLT&keywords=bags&qid=1685079936&sprefix=ba%2Caps%2C283&sr=8-45,₹949,3.7 out of 5 stars,923
49,ADISA 31 Ltrs Casual Backpack School College Bag Pack (Navy Blue)  ,https://amazon.in/ADISA-Casual-Backpack-School-College/dp/B0BX3QFVSM/ref=sr_1_46?crid=2M096C61O4MLT&keywords=bags&qid=1685079936&sprefix=ba%2Caps%2C283&sr=8-46,₹399,3.8 out of 5 stars,35
50,Lavie Women's Ushawu Satchel Bag | Ladies Purse Handbag  ,https://amazon.in/Lavie-Womens-Ushawu-Satchel-Handbag/dp/B0B3J9J9CK/ref=sr_1_47?crid=2M096C61O4MLT&keywords=bags&qid=1685079936&sprefix=ba%2Caps%2C283&sr=8-47,"₹1,059",4.1 out of 5 stars,"6,412"
51,"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags  ",https://amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55/ref=sr_1_48?crid=2M096C61O4MLT&keywords=bags&qid=1685079936&sprefix=ba%2Caps%2C283&sr=8-48,₹599,4.0 out of 5 stars,"1,234"
52,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)  ",https://amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_49?crid=2M096C61O4MLT&keywords=bags&qid=1685079936&sprefix=ba%2Caps%2C283&sr=8-49,₹398,4.1 out of 5 stars,"8,997"
53,F Gear Luxur Brown 25 liter Laptop Backpack (2404)  ,https://amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_50?crid=2M096C61O4MLT&keywords=bags&qid=1685079936&sprefix=ba%2Caps%2C283&sr=8-50,"₹1,032",4.4 out of 5 stars,"16,734"
54,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)  ",https://amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1685079936&sprefix=ba%2Caps%2C283&sr=8-51,₹398,4.1 out of 5 stars,"8,997"
55,Trajectory 15.6 Inch Vegan Leather Messenger Laptop bag for men in Office for all laptop like Apple MacBook with 2 Years Warranty and Spacious Multiple Compartment with Expandable Bottom Used as Shoulder and Handbag for Men  ,https://amazon.in/Trajectory-Elegant-15-6-Laptop-Office/dp/B09RK6NCGC/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1685079936&sprefix=ba%2Caps%2C283&sr=8-52,"₹1,399",4.1 out of 5 stars,392
56,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)  ",https://amazon.in/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1685079938&sprefix=ba%2Caps%2C283&sr=8-51,₹649,3.5 out of 5 stars,33
57,Northzone Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Black) 40L  ,https://amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3TVDK6/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1685079938&sprefix=ba%2Caps%2C283&sr=8-52,₹426,3.9 out of 5 stars,70
58,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit  ,https://amazon.in/Nivia-5183-Polyester-Duffle-Medium/dp/B071KNXQ7Y/ref=sr_1_53?crid=2M096C61O4MLT&keywords=bags&qid=1685079938&sprefix=ba%2Caps%2C283&sr=8-53,₹409,4.2 out of 5 stars,"3,290"
